make,model,date_from,rank,id,battery,plug-type2-ccs,icons,acceleration,topspeed,erange_real,efficiency,fastcharge_speed,price_de,country_nl,country_uk,price,tow-hitch,towweight,shape-suv,size-c,shape-spv,size-n
BMW,iX M60,1648764000,508,1590,105.2,Type 2 CCS,5,3.8,250,485,217,650,135500,"€ 140,340","£116,905",2.61,Towbar possible,2500,SUV,,,
Mercedes,EQS SUV 580 4MATIC,1661983200,505,1675,107.8,Type 2 CCS,7,5,210,520,207,680,140000,"* €165,000","* £140,000",2.97,Towbar possible,1800,SUV,,,
Hyundai,IONIQ 6 Standard Range 2WD,1664575200,494,1717,54,Type 2 CCS,5,8,190,355,152,870,45000,"* €48,000","* £44,000",0.91,,,,,,
Skoda,Enyaq Coupe iV 80,1656626400,493,1629,77,Type 2 CCS,5,8.7,160,445,173,560,47000,"€ 56,890","* £45,000",0.99,Towbar possible,1000,SUV,C,,
Volkswagen,ID.3 Pro S - 5 Seats,1627768800,490,1534,77,Type 2 CCS,5,7.9,160,450,171,570,43720,N/A,N/A,0.83,,,,C,,
Audi,e-tron GT quattro,1619820000,490,1420,85,Type 2 CCS,4,4.1,245,420,202,1030,106050,"€ 108,605","£84,000",1.98,,,,,,
Tesla,Model X Plaid,1664575200,483,1408,95,,7,2.6,262,465,204,650,160000,"* €160,000","* £125,000",2.95,Towbar possible,2250,SUV,,,
Volvo,XC40 Recharge Twin Pure Electric,1651356000,477,1593,75,Type 2 CCS,5,4.9,180,340,221,440,56150,"€ 57,495","£57,000",1.14,Towbar possible,1800,SUV,C,,
Mercedes,EQE AMG 43 4MATIC,1648764000,472,1652,90.6,Type 2 CCS,5,4.2,210,485,187,610,103827,"€ 108,890",N/A,2.01,Towbar possible,750,,,,
Lucid,Air Pure,1701385200,469,1318,88,Type 2 CCS,5,4.2,200,560,157,980,100000,"* €100,000",N/A,1.89,,,,,,
Mercedes,EQE 300,1656626400,468,1713,89,Type 2 CCS,5,7.6,210,515,173,650,66402,"€ 69,202","£73,450",1.4,Towbar possible,750,,,,
MG,ZS EV Standard Range,1635721200,462,1540,49,Type 2 CCS,5,8.6,175,270,181,260,33990,"€ 33,585","£29,495",0.65,Towbar possible,500,SUV,,,
Volkswagen,ID.4 Pure Performance,1609455600,462,1411,52,Type 2 CCS,5,9,160,285,182,360,#VALUE!,N/A,"£38,720",0.87,Towbar possible,1000,SUV,C,,
Opel,Mokka-e,1635721200,461,1586,45,Type 2 CCS,5,9.2,150,255,176,410,37650,"€ 38,499","£31,935",0.72,,,SUV,,,
Skoda,Enyaq iV 80x,1622498400,455,1281,77,Type 2 CCS,5,6.9,160,400,193,500,#VALUE!,N/A,"£51,275",1.15,Towbar possible,1200,SUV,C,,
Mazda,MX-30,1651356000,453,1680,30,Type 2 CCS,5,9.7,140,170,176,240,35990,"€ 34,990","£30,050",0.67,,,SUV,C,,
Renault,Megane E-Tech EV60 130hp,1648764000,453,1588,60,Type 2 CCS,5,10.5,150,365,164,520,42700,"€ 43,190",N/A,0.81,Towbar possible,500,SUV,C,,
