make,model,date_from,rank,id,battery,plug-type2-ccs,icons,acceleration,topspeed,erange_real,efficiency,fastcharge_speed,price_de,country_nl,country_uk,price,tow-hitch,towweight,shape-suv,size-c,shape-spv,size-n
Mercedes,eVito Tourer Long 60 kWh,1640991600,70,1617,60,Type 2 CCS,9,12,160,210,286,310,60678,N/A,N/A,1.15,,,,,SPV,N
Mercedes,eVito Tourer Extra-Long 90 kWh,1601503200,68,1616,90,Type 2 CCS,9,12,160,305,295,310,65140,"€ 77,719","£63,954",1.38,,,,,SPV,N
Peugeot,e-Traveller Standard 75 kWh,1612134000,66,1353,68,Type 2 CCS,9,14.3,130,265,257,290,69160,"€ 66,442",N/A,1.28,Towbar possible,1000,,,SPV,N
Peugeot,e-Expert Combi Long 75 kWh,1612134000,64,1608,68,Type 2 CCS,9,14.3,130,260,262,280,56980,"€ 59,303",N/A,1.1,Towbar possible,1000,,,SPV,N
Opel,Vivaro-e Combi M 50 kWh,1601503200,64,1600,45,Type 2 CCS,9,12.1,130,180,250,290,50992,"€ 46,868","£31,795",0.85,Towbar possible,1000,,,SPV,N
Porsche,Taycan Turbo Cross Turismo,1625090400,63,1438,83.7,Type 2 CCS,4,3.3,250,400,209,880,154682,"€ 163,900","£120,900",2.91,,,,,,
Mercedes,eVito Tourer Extra-Long 60 kWh,1640991600,62,1618,60,Type 2 CCS,9,12,160,205,293,300,61571,N/A,N/A,1.17,,,,,SPV,N
Fiat,E-Ulysse L3 50 kWh,1654034400,62,1723,45,Type 2 CCS,8,12.1,130,175,257,280,56990,N/A,N/A,1.08,Towbar possible,1000,,,SPV,N
Opel,Vivaro-e Combi L 50 kWh,1601503200,59,1601,45,Type 2 CCS,9,12.1,130,175,257,280,51825,"€ 48,380","£31,995",0.87,Towbar possible,1000,,,SPV,N
Citroen,e-SpaceTourer XL 50 kWh,1604185200,59,1342,45,Type 2 CCS,9,12.1,130,175,257,280,52680,"€ 59,364","£48,335",1.07,Towbar possible,1000,,,SPV,N
Citroen,e-SpaceTourer XL 75 kWh,1612134000,58,1344,65,Type 2 CCS,9,13.3,130,250,260,290,58680,"€ 68,378",N/A,1.2,Towbar possible,1000,,,SPV,N
Mercedes,EQV 250 Extra-Long,1633039200,58,1543,60,Type 2 CCS,7,12,160,205,293,190,68711,N/A,N/A,1.31,,,,,SPV,N
Peugeot,e-Expert Combi Standard 50 kWh,1612134000,57,1605,45,Type 2 CCS,9,13.1,130,180,250,290,50190,"€ 48,353",N/A,0.93,Towbar possible,1000,,,SPV,N
Peugeot,e-Traveller Long 50 kWh,1604185200,57,1352,45,Type 2 CCS,9,13.1,130,175,257,280,63950,"€ 59,364","£54,275",1.18,Towbar possible,1000,,,SPV,N
Opel,Vivaro-e Combi L 75 kWh,1601503200,57,1603,65,Type 2 CCS,9,13.3,130,250,260,290,57775,"€ 56,911",N/A,1.08,Towbar possible,1000,,,SPV,N
Opel,Zafira-e Life M 75 kWh,1612134000,54,1348,65,Type 2 CCS,9,13.3,130,250,260,290,69250,"€ 65,078",N/A,1.27,Towbar possible,1000,,,SPV,N
Citroen,e-Jumpy Combi XL 50 kWh,1604185200,52,1596,45,Type 2 CCS,9,12.1,130,175,257,280,50980,"€ 50,289","£31,995",0.88,Towbar possible,1000,,,SPV,N
Porsche,Taycan 4S Sport Turismo,1646089200,51,1623,71,Type 2 CCS,4,4,250,370,192,740,107677,"€ 114,200","£87,500",2.05,,,,,,
Citroen,e-Jumpy Combi XL 75 kWh,1604185200,50,1598,65,Type 2 CCS,9,13.3,130,250,260,290,56980,"€ 59,303",N/A,1.1,Towbar possible,1000,,,SPV,N
Peugeot,e-Expert Combi Long 50 kWh,1612134000,50,1606,45,Type 2 CCS,9,13.1,130,175,257,280,50980,"€ 50,289",N/A,0.96,Towbar possible,1000,,,SPV,N
Opel,Zafira-e Life L 50 kWh,1604185200,49,1347,45,Type 2 CCS,9,12.1,130,175,257,280,64075,"€ 57,637","£49,465",1.14,Towbar possible,1000,,,SPV,N
Opel,Zafira-e Life M 50 kWh,1604185200,47,1346,45,Type 2 CCS,9,12.1,130,180,250,290,63250,"€ 56,124","£49,105",1.12,Towbar possible,1000,,,SPV,N
